"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC2-2","-31.98670238","115.5188948","20090705","15:06:00","Armstrong","Fished","AC2","8","Russ","Yes","Yes","SA"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC2-3","-31.98670238","115.5188948","20090705","15:09:00","Armstrong","Fished","AC2","9","Russ","Yes","Yes","MAC"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC2-4","-31.98670238","115.5188948","20090705","15:11:00","Armstrong","Fished","AC2","6","Russ","Yes","Yes","MAC"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC3-1","-31.9927685","115.4984064","20090704","14:33:00","Armstrong","Fished","AC3","5","Ben S","Yes","Yes","ECK"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC3-2","-31.9927685","115.4984064","20090704","14:36:00","Armstrong","Fished","AC3","5","Laura","Yes","Yes",NA
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC3-3","-31.9927685","115.4984064","20090704","14:39:00","Armstrong","Fished","AC3","5","BenP","Yes","Yes","SA"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC3-4","-31.9927685","115.4984064","20090704","14:42:00","Armstrong","Fished","AC3","8","BenP","No","No",NA
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC4-1","-31.9927685","115.4984064","20090704","14:45:00","Armstrong","Fished","AC4","8","Ben S","Yes","Yes","MAC"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC4-2","-31.9927685","115.4984064","20090704","14:48:00","Armstrong","Fished","AC4","7","Sam","Yes","Yes","SA"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC4-3","-31.9927685","115.4984064","20090704","14:50:00","Armstrong","Fished","AC4","8","Bryce","Yes","Yes","MAC"
