"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Labridae","Anampses","lennardi",355.26352,280,"TL",26.8798285714286
"2015-01_Montebello.transect_stereoBRUVs","NCB698","Tetraodontidae","Feroxodon","multistriatus",494.6739,390,"TL",26.8394615384615
"2015-09_Dampier.transect_stereoBRUVs","NCB1537","Tetraodontidae","Lagocephalus","lunaris",570.48682,450,"SL",26.7748488888889
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Tetraodontidae","Feroxodon","multistriatus",493.56407,390,"TL",26.5548897435897
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB311","Acanthuridae","Acanthurus","triostegus",341.38602,270,"TL",26.4392666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB103","Nemipteridae","Pentapodus","porosus",341.37313,270,"TL",26.4344925925926
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB424","Carcharhinidae","Carcharhinus","plumbeus",2272.03471,1800,"TL",26.2241505555555
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB491","Tetraodontidae","Feroxodon","multistriatus",491.36177,390,"TL",25.9901974358974
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",627.86887,500,"TL",25.573774
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB281","Carangidae","Alepes","vari",702.97537,560,"TL",25.5313160714286
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",376.56824,300,"TL",25.5227466666667
"2015-01_Montebello.transect_stereoBRUVs","NCB667","Serranidae","Epinephelus","multinotatus",1246.14016,1000,"TL",24.614016
"2015-01_Montebello.transect_stereoBRUVs","NCB672","Tetraodontidae","Feroxodon","multistriatus",484.99032,390,"TL",24.3564923076923
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1514","Tetraodontidae","Feroxodon","multistriatus",483.513,390,"TL",23.9776923076923
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1281","Tetraodontidae","Lagocephalus","lunaris",557.89842,450,"SL",23.9774266666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB253","Acanthuridae","Acanthurus","grammoptilus",432.78409,350,"TL",23.6525971428571
