"campaignid","sample","family","genus","species","length","range","number","comment","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB39","Ginglymostomatidae","Nebrius","ferrugineus",1366.37224,3766.54918,1,"NA","Pilbara Marine Conservation Partnership",-20.433172,116.6250472,20140507,08:12:00,"Pilbara","Fished","NA",8.6,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB201","Ginglymostomatidae","Nebrius","ferrugineus",1265.34301,1447.27224,1,"NA","Pilbara Marine Conservation Partnership",-21.7078596,114.4262009,20140513,11:57:00,"Sunday.Island","No-take","NA",8.6,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB246","Scombridae","Scomberomorus","spp",1031.89624,6520.19773,1,"NA","Pilbara Marine Conservation Partnership",-21.8375754,114.1842016,20140514,15:36:00,"Between.Bundegi.and.Murat","Fished","NA",8.4,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB114","Ginglymostomatidae","Nebrius","ferrugineus",1929.00594,2799.74238,1,"NA","Pilbara Marine Conservation Partnership",-21.3044384,115.219605,20140510,11:31:00,"Pilbara","Fished","NA",8.7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB114","Carcharhinidae","Triaenodon","obesus",1419.27699,4451.60283,1,"NA","Pilbara Marine Conservation Partnership",-21.3044384,115.219605,20140510,11:31:00,"Pilbara","Fished","NA",8.7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB148","Ginglymostomatidae","Nebrius","ferrugineus",1763.10362,4315.81964,1,"NA","Pilbara Marine Conservation Partnership",-21.3933443,115.0062949,20140511,11:24:00,"Pilbara","Fished","NA",10,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB148","Carcharhinidae","Galeocerdo","cuvier",1046.0138,2621.42755,1,"NA","Pilbara Marine Conservation Partnership",-21.3933443,115.0062949,20140511,11:24:00,"Pilbara","Fished","NA",10,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB55","Carcharhinidae","Galeocerdo","cuvier",2837.85604,4900.43426,1,"NA","Pilbara Marine Conservation Partnership",-20.8396045,116.0526003,20140508,08:18:00,"Pilbara","Fished","NA",6.7,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB219","Sphyraenidae","Sphyraena","barracuda",1196.87599,2252.7206,1,"NA","Pilbara Marine Conservation Partnership",-21.6633522,114.3382293,20140514,08:04:00,"E.Muiron.Sanctuary","No-take","NA",10.1,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB171","Carcharhinidae","Carcharhinus","amblyrhynchos",1124.29847,2021.23557,1,"NA","Pilbara Marine Conservation Partnership",-21.5281069,114.7454609,20140512,11:06:00,"Pilbara","Fished","NA",8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Rachycentridae","Rachycentron","canadum",1032.84034,4624.0081,1,"NA","Pilbara Marine Conservation Partnership",-20.866656,115.9250388,20140508,12:09:00,"Pilbara","Fished","NA",11.3,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Carcharhinidae","Triaenodon","obesus",1214.78076,3889.44016,1,"NA","Pilbara Marine Conservation Partnership",-20.866656,115.9250388,20140508,12:09:00,"Pilbara","Fished","NA",11.3,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB212","Carcharhinidae","Triaenodon","obesus",1315.1319,5697.77825,1,"NA","Pilbara Marine Conservation Partnership",-21.6345781,114.3646314,20140513,15:00:00,"Muirons","Fished","NA",9.7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB227","Carcharhinidae","Triaenodon","obesus",1108.82775,2364.74158,1,"NA","Pilbara Marine Conservation Partnership",-21.6983005,114.3028879,20140514,10:08:00,"Muirons","Fished","NA",8.5,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB227","Carcharhinidae","Galeocerdo","cuvier",2152.26926,4679.91644,1,"NA","Pilbara Marine Conservation Partnership",-21.6983005,114.3028879,20140514,10:08:00,"Muirons","Fished","NA",8.5,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Carcharhinidae","Triaenodon","obesus",1236.37378,2711.17325,1,"NA","Pilbara Marine Conservation Partnership",-21.5514348,114.7808036,20140512,08:39:00,"Pilbara","Fished","NA",9.2,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Carcharhinidae","Carcharhinus","amblyrhynchos",1331.91345,2931.81835,1,"NA","Pilbara Marine Conservation Partnership",-21.5514348,114.7808036,20140512,08:39:00,"Pilbara","Fished","NA",9.2,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB52","Rhinidae","Rhina","ancylostoma",1512.30249,5156.27513,1,"NA","Pilbara Marine Conservation Partnership",-20.8006293,116.0821848,20140508,08:01:00,"Pilbara","Fished","NA",8.8,"ET","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB220","Carcharhinidae","Carcharhinus","amblyrhynchos",1219.29313,5497.54047,1,"NA","Pilbara Marine Conservation Partnership",-21.667851,114.3345458,20140514,08:15:00,"E.Muiron.Sanctuary","No-take","NA",8.8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB265","Serranidae","Epinephelus","malabaricus",1135.6382,4107.45673,1,"NA","Pilbara Marine Conservation Partnership",-21.7922401,114.1441104,20140515,11:51:00,"Lighthouse.Sanctuary","No-take","NA",8.4,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Carcharhinidae","Triaenodon","obesus",1217.9543,2204.33047,1,"NA","Pilbara Marine Conservation Partnership",-21.5906227,114.6088808,20140512,16:00:00,"Pilbara","Fished","NA",8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Carcharhinidae","Carcharhinus","amblyrhynchos",1125.23692,2833.47017,1,"NA","Pilbara Marine Conservation Partnership",-21.5906227,114.6088808,20140512,16:00:00,"Pilbara","Fished","NA",8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB67","Carcharhinidae","Negaprion","acutidens",1858.11565,2987.3781,1,"NA","Pilbara Marine Conservation Partnership",-20.9178283,115.8799327,20140508,12:46:00,"Pilbara","Fished","NA",9.8,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB24","Serranidae","Epinephelus","lanceolatus",1502.05426,2365.32989,1,"NA","Pilbara Marine Conservation Partnership",-20.3612815,116.8220968,20140506,14:58:00,"Pilbara","Fished","NA",11,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1405.95993,3618.04125,1,"NA","Pilbara Marine Conservation Partnership",-21.5775823,114.8631005,20140511,15:10:00,"Pilbara","Fished","NA",8.6,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1174.93144,1794.20281,1,"NA","Pilbara Marine Conservation Partnership",-21.5775823,114.8631005,20140511,15:10:00,"Pilbara","Fished","NA",8.6,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1045.17771,3100.84099,1,"NA","Pilbara Marine Conservation Partnership",-21.5775823,114.8631005,20140511,15:10:00,"Pilbara","Fished","NA",8.6,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB229","Carcharhinidae","Carcharhinus","amblyrhynchos",1241.24974,2297.54436,1,"NA","Pilbara Marine Conservation Partnership",-21.706954,114.2994301,20140514,10:16:00,"Muirons","Fished","NA",8.9,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Carcharhinus","amblyrhynchos",1622.64963,5071.88184,1,"NA","Pilbara Marine Conservation Partnership",-20.8101303,116.0689955,20140508,08:06:00,"Pilbara","Fished","NA",8.5,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Galeocerdo","cuvier",2624.4536,6284.73338,1,"NA","Pilbara Marine Conservation Partnership",-20.8101303,116.0689955,20140508,08:06:00,"Pilbara","Fished","NA",8.5,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Galeocerdo","cuvier",2389.91804,6206.26811,1,"NA","Pilbara Marine Conservation Partnership",-20.8101303,116.0689955,20140508,08:06:00,"Pilbara","Fished","NA",8.5,"Matt","Yes","Yes"
